   Nr |                      x |               math.tan |              cont_frac |            poly_approx |   err_frac |   err_poly |       t_libr |       t_frac |       t_poly
 5511 |      0.945748967739522 |      1.385892944862854 |      1.385892944863854 |      1.386008022842351 |   1.00e-12 |   1.15e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5512 |      0.568776802194337 |      0.639244165594719 |      0.639244165595718 |      0.639223607197369 |   9.99e-13 |   2.06e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5513 |     -1.497728851918988 |    -13.661615504522571 |    -13.661615504521583 |    -13.661615504523107 |   9.88e-13 |   5.36e-13 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5514 |      0.475957418547171 |      0.515483342510492 |      0.515483342511492 |      0.515480571327121 |   1.00e-12 |   2.77e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5515 |     -0.118924114221938 |     -0.119487949888908 |     -0.119487949887908 |     -0.119487949888308 |   1.00e-12 |   6.00e-13 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5516 |     -0.354894612353749 |     -0.370585266241273 |     -0.370585266240273 |     -0.370585161180542 |   1.00e-12 |   1.05e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5517 |     -0.313409555507302 |     -0.324091039108144 |     -0.324091039107144 |     -0.324091012655485 |   1.00e-12 |   2.65e-08 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5518 |     -0.258942287784829 |     -0.264889296066035 |     -0.264889296065035 |     -0.264889292868685 |   1.00e-12 |   3.20e-09 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5519 |     -0.966515131361751 |     -1.448351169456777 |     -1.448351169455776 |     -1.448436784845650 |   1.00e-12 |   8.56e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5520 |     -1.527687083861973 |    -23.182509974739613 |    -23.182509974738611 |    -23.182509974739649 |   1.00e-12 |   3.55e-14 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5521 |     -1.166341366799188 |     -2.336151308519492 |     -2.336151308518487 |     -2.336153762992035 |   1.01e-12 |   2.45e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5522 |      0.669946819016793 |      0.792167617460844 |      0.792167617461844 |      0.792035417535418 |   1.00e-12 |   1.32e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5523 |     -0.846675289620801 |     -1.130728589349780 |     -1.130728589348779 |     -1.131141775900714 |   1.00e-12 |   4.13e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5524 |      0.106577763084939 |      0.106983137542266 |      0.106983137543266 |      0.106983137542087 |   1.00e-12 |   1.79e-13 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5525 |     -0.631006828671479 |     -0.730657929754292 |     -0.730657929753292 |     -0.730591188018418 |   1.00e-12 |   6.67e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5526 |      0.277433741888684 |      0.284777912915488 |      0.284777912916488 |      0.284777906058905 |   1.00e-12 |   6.86e-09 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5527 |     -1.243860872922483 |     -2.948944697564296 |     -2.948944697563295 |     -2.948945065050381 |   1.00e-12 |   3.67e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5528 |      0.347571350090392 |      0.362278669901723 |      0.362278669902723 |      0.362278586557117 |   1.00e-12 |   8.33e-08 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5529 |     -0.888550284110948 |     -1.230946569716494 |     -1.230946569715494 |     -1.231193342507955 |   1.00e-12 |   2.47e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5530 |      0.646138749122922 |      0.754129491676898 |      0.754129491677898 |      0.754042057411940 |   1.00e-12 |   8.74e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5531 |      1.117942795540778 |      2.055163407367620 |      2.055163407368619 |      2.055170114031023 |   9.98e-13 |   6.71e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5532 |     -0.951045716400952 |     -1.401477703932250 |     -1.401477703931249 |     -1.401584528231999 |   1.00e-12 |   1.07e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5533 |      1.232053361913218 |      2.838303187784187 |      2.838303187785186 |      2.838303692404430 |   1.00e-12 |   5.05e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5534 |      0.546374770195484 |      0.608128306946014 |      0.608128306947013 |      0.608115245408710 |   9.99e-13 |   1.31e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5535 |     -0.077793025535557 |     -0.077950334450327 |     -0.077950334449327 |     -0.077950334450321 |   1.00e-12 |   5.61e-15 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5536 |      1.373197165400600 |      4.994711743258306 |      4.994711743259303 |      4.994711747287116 |   9.97e-13 |   4.03e-09 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5537 |      1.049627037286256 |      1.741809837059228 |      1.741809837060229 |      1.741833118865775 |   1.00e-12 |   2.33e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5538 |      0.931066203058591 |      1.343861276014632 |      1.343861276015632 |      1.344002229197312 |   1.00e-12 |   1.41e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5539 |      0.314589410340148 |      0.325395319331658 |      0.325395319332658 |      0.325395291754106 |   1.00e-12 |   2.76e-08 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5540 |      0.601771136276845 |      0.686740069953453 |      0.686740069954453 |      0.686701141380638 |   1.00e-12 |   3.89e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5541 |      0.516746798730086 |      0.568250157572896 |      0.568250157573896 |      0.568243185029378 |   1.00e-12 |   6.97e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5542 |     -1.200549607192903 |     -2.576343336839702 |     -2.576343336838692 |     -2.576344453260210 |   1.01e-12 |   1.12e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5543 |     -1.378301875839735 |     -5.130631062534127 |     -5.130631062533124 |     -5.130631065719101 |   1.00e-12 |   3.18e-09 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5544 |      0.047713113437866 |      0.047749353395003 |      0.047749353396003 |      0.047749353395003 |   1.00e-12 |   2.08e-17 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5545 |      0.145188104857110 |      0.146216949144055 |      0.146216949145055 |      0.146216949138653 |   1.00e-12 |   5.40e-12 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5546 |      1.426721454726596 |      6.892744044476917 |      6.892744044477914 |      6.892744044712704 |   9.97e-13 |   2.36e-10 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5547 |      1.359611181134861 |      4.664576279010376 |      4.664576279011376 |      4.664576286329105 |   1.00e-12 |   7.32e-09 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5548 |      0.646122091024288 |      0.754103360257767 |      0.754103360258766 |      0.754015951703076 |   1.00e-12 |   8.74e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5549 |      0.894985118678461 |      1.247261106783708 |      1.247261106784708 |      1.247488387225268 |   1.00e-12 |   2.27e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5550 |     -0.442530591515567 |     -0.473875678710234 |     -0.473875678709234 |     -0.473874451602856 |   1.00e-12 |   1.23e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5551 |     -0.349601942327698 |     -0.364577463156479 |     -0.364577463155479 |     -0.364577374242896 |   1.00e-12 |   8.89e-08 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5552 |     -1.030045313991312 |     -1.665414977524985 |     -1.665414977523985 |     -1.665447217812043 |   1.00e-12 |   3.22e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5553 |      1.358841701340984 |      4.647126876316676 |      4.647126876317676 |      4.647126883878274 |   1.00e-12 |   7.56e-09 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5554 |      1.166117518442698 |      2.334706540223580 |      2.334706540224576 |      2.334709006820893 |   9.96e-13 |   2.47e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5555 |      0.066233207411995 |      0.066330229108099 |      0.066330229109099 |      0.066330229108098 |   1.00e-12 |   9.44e-16 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5556 |     -1.161795298099359 |     -2.307102904711727 |     -2.307102904710722 |     -2.307105616054880 |   1.00e-12 |   2.71e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5557 |     -0.770363868777390 |     -0.970374576000558 |     -0.970374575999558 |     -0.969712769540003 |   1.00e-12 |   6.62e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5558 |      1.428052505568102 |      6.957911134931887 |      6.957911134932879 |      6.957911135148803 |   9.92e-13 |   2.17e-10 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5559 |      1.544527095006626 |     38.058591636619752 |     38.058591636620825 |     38.058591636619838 |   1.07e-12 |   8.53e-14 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5560 |      1.522147389915335 |     20.539214898320164 |     20.539214898321180 |     20.539214898320203 |   1.02e-12 |   3.91e-14 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5561 |     -1.398051855641294 |     -5.731200916461361 |     -5.731200916460359 |     -5.731200917665881 |   1.00e-12 |   1.20e-09 | 0.0000000000 | 0.0000000000 | 0.0000000000
